Judet,Abreviere,RCCP,RCCP-ID
Alba,AB,5 Cluj,5
Arad,AR,2 Arad,2
Argeș,AG,9 Oltenia-Argeș,9
Bacău,BC,8 Suceava,8
Bihor,BH,7 Bihor,7
Bistrița-Năsăud,BN,5 Cluj,5
Botoșani,BT,8 Suceava,8
Brașov,BV,3 Brașov,3
Brăila,BR,4 Constanța,4
Buzău,BZ,3 Brașov,3
Caraș-Severin,CS,2 Arad,2
Călărași,CL,1 București,1
Cluj,CJ,5 Cluj,5
Constanța,CT,4 Constanța,4
Covasna,CV,3 Brașov,3
Dâmbovița,DB,1 București,1
Dolj,DJ,9 Oltenia-Argeș,9
Galați,GL,4 Constanța,4
Giurgiu,GR,1 București,1
Gorj,GJ,9 Oltenia-Argeș,9
Harghita,HR,5 Cluj,5
Hunedoara,HD,2 Arad,2
Ialomița,IL,1 București,1
Iași,IS,8 Suceava,8
Ilfov,IF,1 București,1
Maramureș,MM,6 Maramureș-Sătmar,6
Mehedinți,MH,9 Oltenia-Argeș,9
Mureș,MS,5 Cluj,5
Neamț,NT,8 Suceava,8
Olt,OT,9 Oltenia-Argeș,9
Prahova,PH,3 Brașov,3
Satu Mare,SM,6 Maramureș-Sătmar,6
Sălaj,SJ,5 Cluj,5
Sibiu,SB,3 Brașov,3
Suceava,SV,8 Suceava,8
Teleorman,TR,1 București,1
Timiș,TM,2 Arad,2
Tulcea,TL,4 Constanța,4
Vaslui,VS,8 Suceava,8
Vâlcea,VL,9 Oltenia-Argeș,9
Vrancea,VN,1 București,1